,AGTP_n2o
820,1.0255149359753565e-13
821,1.024898245258356e-13
822,1.0242819666751386e-13
823,1.0236661001174692e-13
824,1.0230506454761602e-13
825,1.022435602641074e-13
826,1.0218209715011303e-13
827,1.0212067519443092e-13
828,1.0205929438576582e-13
829,1.0199795471272951e-13
830,1.0193665616384148e-13
831,1.018753987275293e-13
832,1.0181418239212921e-13
833,1.0175300714588649e-13
834,1.0169187297695606e-13
835,1.016307798734029e-13
836,1.0156972782320257e-13
837,1.0150871681424168e-13
838,1.0144774683431839e-13
839,1.0138681787114284e-13
840,1.0132592991233765e-13
841,1.0126508294543842e-13
842,1.0120427695789418e-13
843,1.011435119370679e-13
844,1.0108278787023684e-13
845,1.0102210474459321e-13
846,1.0096146254724442e-13
847,1.0090086126521372e-13
848,1.0084030088544056e-13
849,1.007797813947811e-13
850,1.0071930278000863e-13
851,1.0065886502781405e-13
852,1.0059846812480636e-13
853,1.0053811205751295e-13
854,1.0047779681238034e-13
855,1.0041752237577434e-13
856,1.0035728873398061e-13
857,1.002970958732052e-13
858,1.0023694377957481e-13
859,1.0017683243913738e-13
860,1.0011676183786247e-13
861,1.0005673196164166e-13
862,9.99967427962891e-14
863,9.993679432754179e-14
864,9.987688654106011e-14
865,9.981701942242831e-14
866,9.975719295715477e-14
867,9.969740713067254e-14
868,9.963766192833978e-14
869,9.957795733544011e-14
870,9.951829333718311e-14
871,9.945866991870461e-14
872,9.939908706506731e-14
873,9.933954476126099e-14
874,9.92800429922031e-14
875,9.9220581742739e-14
876,9.916116099764258e-14
877,9.91017807416164e-14
878,9.904244095929235e-14
879,9.898314163523199e-14
880,9.892388275392682e-14
881,9.886466429979883e-14
882,9.880548625720086e-14
883,9.874634861041699e-14
884,9.868725134366294e-14
885,9.862819444108647e-14
886,9.856917788676774e-14
887,9.851020166471982e-14
888,9.845126575888888e-14
889,9.839237015315482e-14
890,9.833351483133143e-14
891,9.827469977716692e-14
892,9.821592497434433e-14
893,9.815719040648173e-14
894,9.809849605713279e-14
895,9.803984190978715e-14
896,9.798122794787057e-14
897,9.792265415474563e-14
898,9.786412051371192e-14
899,9.78056270080064e-14
900,9.774717362080387e-14
901,9.768876033521725e-14
902,9.763038713429805e-14
903,9.757205400103654e-14
904,9.751376091836243e-14
905,9.745550786914495e-14
906,9.739729483619334e-14
907,9.73391218022572e-14
908,9.72809887500268e-14
909,9.722289566213357e-14
910,9.716484252115027e-14
911,9.710682930959152e-14
912,9.704885600991403e-14
913,9.699092260451702e-14
914,9.693302907574254e-14
915,9.687517540587584e-14
916,9.681736157714571e-14
917,9.675958757172481e-14
918,9.670185337173005e-14
919,9.664415895922294e-14
920,9.658650431620984e-14
921,9.652888942464241e-14
922,9.647131426641791e-14
923,9.641377882337952e-14
924,9.63562830773167e-14
925,9.629882700996558e-14
926,9.624141060300908e-14
927,9.618403383807755e-14
928,9.612669669674888e-14
929,9.606939916054889e-14
930,9.601214121095165e-14
931,9.595492282937989e-14
932,9.58977439972052e-14
933,9.584060469574841e-14
934,9.578350490627992e-14
935,9.572644461002005e-14
936,9.566942378813924e-14
937,9.561244242175857e-14
938,9.555550049194989e-14
939,9.549859797973622e-14
940,9.544173486609204e-14
941,9.538491113194362e-14
942,9.532812675816939e-14
943,9.527138172560006e-14
944,9.521467601501916e-14
945,9.515800960716326e-14
946,9.510138248272214e-14
947,9.504479462233941e-14
948,9.498824600661242e-14
949,9.49317366160929e-14
950,9.487526643128707e-14
951,9.481883543265603e-14
952,9.476244360061602e-14
953,9.47060909155387e-14
954,9.464977735775153e-14
955,9.45935029075379e-14
956,9.453726754513765e-14
957,9.448107125074716e-14
958,9.442491400451977e-14
959,9.436879578656603e-14
960,9.431271657695397e-14
961,9.425667635570936e-14
962,9.420067510281611e-14
963,9.414471279821644e-14
964,9.408878942181124e-14
965,9.40329049534603e-14
966,9.397705937298261e-14
967,9.392125266015669e-14
968,9.386548479472075e-14
969,9.380975575637311e-14
970,9.375406552477236e-14
971,9.369841407953769e-14
972,9.36428014002492e-14
973,9.358722746644811e-14
974,9.353169225763705e-14
975,9.347619575328034e-14
976,9.342073793280425e-14
977,9.336531877559725e-14
978,9.330993826101039e-14
979,9.325459636835736e-14
980,9.3199293076915e-14
981,9.314402836592336e-14
982,9.308880221458603e-14
983,9.303361460207045e-14
984,9.297846550750815e-14
985,9.292335490999494e-14
986,9.286828278859127e-14
987,9.281324912232244e-14
988,9.275825389017881e-14
989,9.270329707111613e-14
990,9.26483786440558e-14
991,9.259349858788505e-14
992,9.253865688145721e-14
993,9.248385350359204e-14
994,9.24290884330759e-14
995,9.237436164866198e-14
996,9.231967312907064e-14
997,9.226502285298957e-14
998,9.221041079907412e-14
999,9.215583694594742e-14
1000,9.210130127220078e-14
