,AGTP_co2
734,4.051559041177902e-16
735,4.0509276306059457e-16
736,4.050298183451959e-16
737,4.0496706939561317e-16
738,4.049045156374697e-16
739,4.0484215649798956e-16
740,4.047799914059922e-16
741,4.047180197918884e-16
742,4.0465624108767554e-16
743,4.045946547269329e-16
744,4.045332601448174e-16
745,4.04472056778059e-16
746,4.044110440649562e-16
747,4.0435022144537157e-16
748,4.0428958836072696e-16
749,4.0422914425399995e-16
750,4.0416888856971853e-16
751,4.0410882075395686e-16
752,4.040489402543315e-16
753,4.0398924651999634e-16
754,4.0392973900163823e-16
755,4.0387041715147333e-16
756,4.03811280423242e-16
757,4.037523282722049e-16
758,4.0369356015513877e-16
759,4.0363497553033147e-16
760,4.0357657385757895e-16
761,4.035183545981796e-16
762,4.03460317214931e-16
763,4.034024611721253e-16
764,4.0334478593554504e-16
765,4.0328729097245885e-16
766,4.0322997575161755e-16
767,4.0317283974324987e-16
768,4.03115882419058e-16
769,4.0305910325221403e-16
770,4.0300250171735486e-16
771,4.029460772905796e-16
772,4.028898294494437e-16
773,4.0283375767295617e-16
774,4.0277786144157517e-16
775,4.027221402372034e-16
776,4.026665935431849e-16
777,4.026112208443004e-16
778,4.0255602162676357e-16
779,4.0250099537821685e-16
780,4.0244614158772784e-16
781,4.023914597457845e-16
782,4.0233694934429226e-16
783,4.022826098765689e-16
784,4.022284408373418e-16
785,4.0217444172274316e-16
786,4.021206120303062e-16
787,4.020669512589616e-16
788,4.0201345890903324e-16
789,4.0196013448223435e-16
790,4.019069774816641e-16
791,4.0185398741180307e-16
792,4.018011637785097e-16
793,4.0174850608901675e-16
794,4.0169601385192707e-16
795,4.0164368657720987e-16
796,4.015915237761968e-16
797,4.0153952496157863e-16
798,4.0148768964740103e-16
799,4.014360173490608e-16
800,4.013845075833026e-16
801,4.013331598682144e-16
802,4.012819737232247e-16
803,4.01230948669098e-16
804,4.0118008422793136e-16
805,4.011293799231511e-16
806,4.0107883527950847e-16
807,4.010284498230762e-16
808,4.009782230812453e-16
809,4.009281545827207e-16
810,4.008782438575179e-16
811,4.0082849043695945e-16
812,4.007788938536713e-16
813,4.00729453641579e-16
814,4.0068016933590425e-16
815,4.0063104047316156e-16
816,4.0058206659115396e-16
817,4.005332472289702e-16
818,4.0048458192698052e-16
819,4.0043607022683407e-16
820,4.0038771167145407e-16
821,4.0033950580503537e-16
822,4.0029145217304035e-16
823,4.002435503221958e-16
824,4.001957998004892e-16
825,4.00148200157165e-16
826,4.0010075094272157e-16
827,4.000534517089077e-16
828,4.0000630200871877e-16
829,3.9995930139639397e-16
830,3.999124494274119e-16
831,3.9986574565848814e-16
832,3.998191896475712e-16
833,3.997727809538394e-16
834,3.997265191376973e-16
835,3.996804037607725e-16
836,3.9963443438591196e-16
837,3.995886105771791e-16
838,3.9954293189985015e-16
839,3.994973979204107e-16
840,3.9945200820655273e-16
841,3.994067623271709e-16
842,3.9936165985235925e-16
843,3.993167003534085e-16
844,3.9927188340280184e-16
845,3.9922720857421254e-16
846,3.991826754424995e-16
847,3.991382835837057e-16
848,3.9909403257505297e-16
849,3.990499219949406e-16
850,3.9900595142294054e-16
851,3.9896212043979507e-16
852,3.9891842862741345e-16
853,3.988748755688687e-16
854,3.988314608483939e-16
855,3.9878818405137967e-16
856,3.987450447643709e-16
857,3.98702042575063e-16
858,3.9865917707229934e-16
859,3.9861644784606786e-16
860,3.985738544874978e-16
861,3.9853139658885696e-16
862,3.984890737435478e-16
863,3.9844688554610544e-16
864,3.984048315921934e-16
865,3.983629114786013e-16
866,3.9832112480324135e-16
867,3.9827947116514547e-16
868,3.98237950164462e-16
869,3.981965614024528e-16
870,3.9815530448149026e-16
871,3.98114179005054e-16
872,3.9807318457772783e-16
873,3.9803232080519724e-16
874,3.979915872942457e-16
875,3.979509836527516e-16
876,3.9791050948968617e-16
877,3.978701644151094e-16
878,3.978299480401678e-16
879,3.9778985997709077e-16
880,3.9774989983918826e-16
881,3.977100672408474e-16
882,3.9767036179752956e-16
883,3.9763078312576763e-16
884,3.975913308431628e-16
885,3.9755200456838176e-16
886,3.9751280392115394e-16
887,3.9747372852226823e-16
888,3.974347779935703e-16
889,3.9739595195795957e-16
890,3.9735725003938666e-16
891,3.9731867186284977e-16
892,3.9728021705439277e-16
893,3.9724188524110126e-16
894,3.972036760511011e-16
895,3.971655891135538e-16
896,3.971276240586551e-16
897,3.9708978051763164e-16
898,3.97052058122738e-16
899,3.970144565072538e-16
900,3.9697697530548165e-16
901,3.9693961415274304e-16
902,3.969023726853769e-16
903,3.9686525054073555e-16
904,3.9682824735718324e-16
905,3.9679136277409207e-16
906,3.9675459643184013e-16
907,3.9671794797180843e-16
908,3.9668141703637807e-16
909,3.966450032689275e-16
910,3.9660870631383003e-16
911,3.9657252581645057e-16
912,3.9653646142314366e-16
913,3.9650051278125025e-16
914,3.964646795390951e-16
915,3.964289613459838e-16
916,3.9639335785220056e-16
917,3.9635786870900535e-16
918,3.9632249356863116e-16
919,3.9628723208428123e-16
920,3.9625208391012673e-16
921,3.962170487013035e-16
922,3.9618212611390993e-16
923,3.9614731580500463e-16
924,3.961126174326028e-16
925,3.960780306556741e-16
926,3.960435551341404e-16
927,3.960091905288725e-16
928,3.959749365016883e-16
929,3.959407927153492e-16
930,3.9590675883355856e-16
931,3.958728345209582e-16
932,3.958390194431266e-16
933,3.9580531326657566e-16
934,3.957717156587489e-16
935,3.957382262880179e-16
936,3.9570484482368063e-16
937,3.9567157093595846e-16
938,3.956384042959939e-16
939,3.956053445758478e-16
940,3.9557239144849693e-16
941,3.955395445878316e-16
942,3.9550680366865284e-16
943,3.954741683666704e-16
944,3.9544163835849965e-16
945,3.954092133216595e-16
946,3.9537689293457e-16
947,3.9534467687654935e-16
948,3.9531256482781197e-16
949,3.952805564694659e-16
950,3.952486514835103e-16
951,3.9521684955283263e-16
952,3.95185150361207e-16
