,AGWP_n2o
867,2.2345061762578128e-11
868,2.236227380897486e-11
869,2.237947025132827e-11
870,2.239665110329178e-11
871,2.2413816378509976e-11
872,2.2430966090618585e-11
873,2.2448100253244478e-11
874,2.246521888000566e-11
875,2.2482321984511242e-11
876,2.2499409580361467e-11
877,2.2516481681147664e-11
878,2.253353830045227e-11
879,2.255057945184878e-11
880,2.2567605148901806e-11
881,2.258461540516699e-11
882,2.2601610234191055e-11
883,2.2618589649511773e-11
884,2.2635553664657947e-11
885,2.2652502293149423e-11
886,2.266943554849708e-11
887,2.2686353444202796e-11
888,2.2703255993759474e-11
889,2.2720143210651012e-11
890,2.27370151083523e-11
891,2.2753871700329226e-11
892,2.2770713000038636e-11
893,2.2787539020928375e-11
894,2.2804349776437213e-11
895,2.2821145279994912e-11
896,2.2837925545022158e-11
897,2.285469058493059e-11
898,2.2871440413122776e-11
899,2.2888175042992203e-11
900,2.29048944879233e-11
901,2.292159876129137e-11
902,2.2938287876462648e-11
903,2.295496184679427e-11
904,2.2971620685634245e-11
905,2.2988264406321472e-11
906,2.3004893022185736e-11
907,2.302150654654768e-11
908,2.303810499271881e-11
909,2.305468837400151e-11
910,2.3071256703688982e-11
911,2.308780999506531e-11
912,2.310434826140538e-11
913,2.3120871515974934e-11
914,2.3137379772030532e-11
915,2.315387304281955e-11
916,2.317035134158018e-11
917,2.3186814681541425e-11
918,2.3203263075923084e-11
919,2.3219696537935757e-11
920,2.3236115080780822e-11
921,2.3252518717650455e-11
922,2.32689074617276e-11
923,2.3285281326185987e-11
924,2.3301640324190092e-11
925,2.3317984468895175e-11
926,2.3334313773447235e-11
927,2.3350628250983028e-11
928,2.3366927914630065e-11
929,2.3383212777506575e-11
930,2.3399482852721542e-11
931,2.341573815337468e-11
932,2.3431978692556417e-11
933,2.3448204483347902e-11
934,2.3464415538820997e-11
935,2.3480611872038294e-11
936,2.3496793496053066e-11
937,2.35129604239093e-11
938,2.3529112668641683e-11
939,2.3545250243275573e-11
940,2.3561373160827032e-11
941,2.3577481434302803e-11
942,2.3593575076700305e-11
943,2.3609654101007623e-11
944,2.3625718520203522e-11
945,2.364176834725743e-11
946,2.3657803595129435e-11
947,2.3673824276770272e-11
948,2.3689830405121343e-11
949,2.3705821993114684e-11
950,2.372179905367299e-11
951,2.3737761599709592e-11
952,2.3753709644128452e-11
953,2.376964319982417e-11
954,2.378556227968197e-11
955,2.3801466896577706e-11
956,2.3817357063377862e-11
957,2.3833232792939518e-11
958,2.3849094098110397e-11
959,2.3864940991728803e-11
960,2.3880773486623665e-11
961,2.3896591595614527e-11
962,2.391239533151151e-11
963,2.3928184707115353e-11
964,2.3943959735217374e-11
965,2.39597204285995e-11
966,2.3975466800034226e-11
967,2.3991198862284648e-11
968,2.400691662810444e-11
969,2.4022620110237858e-11
970,2.4038309321419724e-11
971,2.405398427437545e-11
972,2.4069644981821006e-11
973,2.408529145646294e-11
974,2.4100923710998355e-11
975,2.4116541758114928e-11
976,2.413214561049089e-11
977,2.4147735280795028e-11
978,2.4163310781686692e-11
979,2.417887212581578e-11
980,2.419441932582274e-11
981,2.420995239433858e-11
982,2.4225471343984825e-11
983,2.424097618737358e-11
984,2.4256466937107476e-11
985,2.427194360577967e-11
986,2.4287406205973875e-11
987,2.4302854750264337e-11
988,2.4318289251215826e-11
989,2.433370972138366e-11
990,2.4349116173313666e-11
991,2.4364508619542212e-11
992,2.437988707259619e-11
993,2.4395251544993022e-11
994,2.441060204924064e-11
995,2.4425938597837506e-11
996,2.444126120327259e-11
997,2.4456569878025397e-11
998,2.4471864634565946e-11
999,2.448714548535476e-11
1000,2.4502412442842872e-11
