,AGWP_co2
647,7.767102589119778e-16
648,7.764040405093874e-16
649,7.760984552827588e-16
650,7.75793501551804e-16
651,7.754891776408477e-16
652,7.75185481878816e-16
653,7.748824125992201e-16
654,7.745799681401451e-16
655,7.742781468442364e-16
656,7.739769470586858e-16
657,7.736763671352193e-16
658,7.733764054300833e-16
659,7.730770603040318e-16
660,7.727783301223141e-16
661,7.724802132546605e-16
662,7.721827080752707e-16
663,7.718858129628007e-16
664,7.71589526300349e-16
665,7.712938464754458e-16
666,7.709987718800385e-16
667,7.7070430091048e-16
668,7.704104319675159e-16
669,7.701171634562722e-16
670,7.698244937862427e-16
671,7.695324213712758e-16
672,7.692409446295636e-16
673,7.689500619836286e-16
674,7.686597718603109e-16
675,7.683700726907575e-16
676,7.680809629104084e-16
677,7.677924409589859e-16
678,7.67504505280481e-16
679,7.672171543231426e-16
680,7.669303865394651e-16
681,7.666442003861755e-16
682,7.66358594324223e-16
683,7.660735668187658e-16
684,7.657891163391599e-16
685,7.65505241358947e-16
686,7.652219403558426e-16
687,7.649392118117247e-16
688,7.646570542126216e-16
689,7.643754660487006e-16
690,7.640944458142562e-16
691,7.638139920076982e-16
692,7.63534103131541e-16
693,7.632547776923908e-16
694,7.629760142009356e-16
695,7.626978111719326e-16
696,7.624201671241973e-16
697,7.62143080580592e-16
698,7.618665500680148e-16
699,7.615905741173874e-16
700,7.613151512636455e-16
701,7.610402800457254e-16
702,7.607659590065551e-16
703,7.604921866930413e-16
704,7.602189616560591e-16
705,7.599462824504413e-16
706,7.596741476349665e-16
707,7.594025557723489e-16
708,7.591315054292265e-16
709,7.588609951761512e-16
710,7.585910235875769e-16
711,7.583215892418492e-16
712,7.580526907211945e-16
713,7.577843266117092e-16
714,7.575164955033487e-16
715,7.572491959899173e-16
716,7.569824266690567e-16
717,7.567161861422355e-16
718,7.564504730147395e-16
719,7.561852858956599e-16
720,7.559206233978833e-16
721,7.556564841380813e-16
722,7.553928667366999e-16
723,7.551297698179483e-16
724,7.5486719200979e-16
725,7.546051319439308e-16
726,7.543435882558099e-16
727,7.540825595845881e-16
728,7.538220445731387e-16
729,7.535620418680365e-16
730,7.533025501195482e-16
731,7.530435679816211e-16
732,7.527850941118743e-16
733,7.525271271715875e-16
734,7.522696658256912e-16
735,7.52012708742757e-16
736,7.517562545949871e-16
737,7.515003020582042e-16
738,7.512448498118415e-16
739,7.509898965389333e-16
740,7.507354409261049e-16
741,7.504814816635616e-16
742,7.502280174450803e-16
743,7.499750469679993e-16
744,7.497225689332071e-16
745,7.494705820451349e-16
746,7.492190850117451e-16
747,7.48968076544522e-16
748,7.487175553584626e-16
749,7.484675201720661e-16
750,7.48217969707325e-16
751,7.479689026897149e-16
752,7.477203178481857e-16
753,7.474722139151507e-16
754,7.472245896264784e-16
755,7.469774437214821e-16
756,7.467307749429115e-16
757,7.464845820369416e-16
758,7.462388637531646e-16
759,7.4599361884458e-16
760,7.457488460675856e-16
761,7.455045441819674e-16
762,7.452607119508912e-16
763,7.450173481408924e-16
764,7.447744515218675e-16
765,7.445320208670645e-16
766,7.442900549530737e-16
767,7.440485525598186e-16
768,7.438075124705467e-16
769,7.435669334718202e-16
770,7.433268143535071e-16
771,7.430871539087725e-16
772,7.428479509340683e-16
773,7.426092042291256e-16
774,7.423709125969453e-16
775,7.42133074843788e-16
776,7.418956897791668e-16
777,7.416587562158372e-16
778,7.414222729697885e-16
779,7.411862388602351e-16
780,7.409506527096074e-16
781,7.407155133435428e-16
