,AGWP_co2
787,7.399711092956801e-14
788,7.407103072311898e-14
789,7.414492733410586e-14
790,7.42188008062217e-14
791,7.42926511830452e-14
792,7.436647850804087e-14
793,7.444028282455942e-14
794,7.45140641758381e-14
795,7.458782260500091e-14
796,7.466155815505901e-14
797,7.473527086891097e-14
798,7.48089607893431e-14
799,7.488262795902974e-14
800,7.495627242053354e-14
801,7.502989421630587e-14
802,7.510349338868695e-14
803,7.517706997990634e-14
804,7.525062403208311e-14
805,7.532415558722614e-14
806,7.53976646872346e-14
807,7.547115137389796e-14
808,7.554461568889648e-14
809,7.561805767380153e-14
810,7.569147737007576e-14
811,7.576487481907354e-14
812,7.583825006204104e-14
813,7.59116031401168e-14
814,7.598493409433176e-14
815,7.605824296560975e-14
816,7.613152979476771e-14
817,7.620479462251595e-14
818,7.627803748945847e-14
819,7.635125843609324e-14
820,7.642445750281252e-14
821,7.649763472990312e-14
822,7.657079015754665e-14
823,7.664392382581992e-14
824,7.671703577469506e-14
825,7.679012604403999e-14
826,7.686319467361853e-14
827,7.693624170309082e-14
828,7.700926717201352e-14
829,7.708227111984013e-14
830,7.715525358592125e-14
831,7.722821460950485e-14
832,7.730115422973661e-14
833,7.737407248566014e-14
834,7.744696941621722e-14
835,7.751984506024823e-14
836,7.759269945649221e-14
837,7.766553264358742e-14
838,7.773834466007126e-14
839,7.78111355443808e-14
840,7.788390533485303e-14
841,7.795665406972509e-14
842,7.802938178713444e-14
843,7.810208852511933e-14
844,7.817477432161893e-14
845,7.824743921447359e-14
846,7.832008324142528e-14
847,7.839270644011762e-14
848,7.846530884809629e-14
849,7.853789050280929e-14
850,7.861045144160723e-14
851,7.868299170174345e-14
852,7.875551132037445e-14
853,7.882801033456007e-14
854,7.890048878126376e-14
855,7.897294669735288e-14
856,7.904538411959892e-14
857,7.911780108467779e-14
858,7.919019762917002e-14
859,7.92625737895611e-14
860,7.933492960224171e-14
861,7.940726510350804e-14
862,7.947958032956174e-14
863,7.955187531651071e-14
864,7.962415010036885e-14
865,7.969640471705663e-14
866,7.976863920240122e-14
867,7.984085359213677e-14
868,7.991304792190459e-14
869,7.998522222725356e-14
870,8.005737654364024e-14
871,8.012951090642922e-14
872,8.020162535089325e-14
873,8.027371991221363e-14
874,8.034579462548031e-14
875,8.041784952569233e-14
876,8.048988464775789e-14
877,8.056190002649464e-14
878,8.063389569663e-14
879,8.070587169280131e-14
880,8.077782804955618e-14
881,8.084976480135265e-14
882,8.09216819825594e-14
883,8.09935796274561e-14
884,8.106545777023366e-14
885,8.113731644499429e-14
886,8.120915568575196e-14
887,8.128097552643253e-14
888,8.135277600087394e-14
889,8.142455714282659e-14
890,8.14963189859535e-14
891,8.15680615638305e-14
892,8.163978490994653e-14
893,8.171148905770394e-14
894,8.178317404041847e-14
895,8.185483989131986e-14
896,8.192648664355179e-14
897,8.199811433017221e-14
898,8.20697229841536e-14
899,8.214131263838315e-14
900,8.221288332566304e-14
901,8.228443507871068e-14
902,8.235596793015882e-14
903,8.2427481912556e-14
904,8.24989770583665e-14
905,8.25704533999708e-14
906,8.264191096966578e-14
907,8.271334979966476e-14
908,8.278476992209802e-14
909,8.28561713690127e-14
910,8.292755417237331e-14
911,8.299891836406182e-14
912,8.307026397587785e-14
913,8.314159103953899e-14
914,8.321289958668096e-14
915,8.328418964885787e-14
916,8.335546125754239e-14
917,8.342671444412605e-14
918,8.349794923991935e-14
919,8.356916567615212e-14
920,8.364036378397357e-14
921,8.371154359445272e-14
922,8.378270513857846e-14
923,8.38538484472597e-14
924,8.392497355132584e-14
925,8.399608048152677e-14
926,8.406716926853323e-14
927,8.413823994293683e-14
928,8.42092925352505e-14
929,8.42803270759085e-14
930,8.435134359526685e-14
931,8.442234212360327e-14
932,8.449332269111765e-14
933,8.456428532793217e-14
934,8.463523006409137e-14
935,8.470615692956259e-14
936,8.477706595423604e-14
937,8.484795716792504e-14
938,8.491883060036627e-14
939,8.498968628121986e-14
940,8.506052424006979e-14
941,8.513134450642388e-14
942,8.520214710971422e-14
943,8.527293207929713e-14
944,8.534369944445358e-14
945,8.541444923438929e-14
946,8.548518147823493e-14
947,8.555589620504639e-14
948,8.562659344380495e-14
949,8.569727322341738e-14
950,8.576793557271636e-14
951,8.583858052046047e-14
952,8.59092080953345e-14
953,8.597981832594966e-14
954,8.60504112408437e-14
955,8.612098686848122e-14
956,8.619154523725377e-14
957,8.626208637548006e-14
958,8.633261031140624e-14
959,8.640311707320599e-14
960,8.647360668898083e-14
961,8.654407918676021e-14
962,8.661453459450172e-14
963,8.668497294009136e-14
964,8.675539425134374e-14
965,8.682579855600206e-14
966,8.689618588173867e-14
967,8.69665562561549e-14
968,8.70369097067815e-14
969,8.710724626107869e-14
970,8.717756594643647e-14
971,8.724786879017469e-14
972,8.73181548195433e-14
973,8.738842406172257e-14
974,8.745867654382324e-14
975,8.752891229288667e-14
976,8.759913133588516e-14
977,8.766933369972193e-14
978,8.773951941123155e-14
979,8.780968849717993e-14
980,8.787984098426457e-14
981,8.794997689911486e-14
982,8.802009626829202e-14
983,8.809019911828954e-14
984,8.81602854755332e-14
985,8.823035536638127e-14
986,8.830040881712486e-14
987,8.837044585398783e-14
988,8.844046650312712e-14
989,8.851047079063305e-14
990,8.858045874252924e-14
991,8.865043038477302e-14
992,8.872038574325542e-14
993,8.87903248438016e-14
994,8.886024771217067e-14
995,8.893015437405624e-14
996,8.900004485508639e-14
997,8.906991918082386e-14
998,8.913977737676629e-14
999,8.920961946834631e-14
1000,8.927944548093184e-14
